channel,video_id,published,views,title,raga,mood
Raga Heal,lgT5cx1c5T4,2026-04-27,759,Screen Time Sickness? | 432Hz Raga Bhairavi Nervous System Reset,bhairavi,nervous_system
Raga Heal,lgT5cx1c5T4,2026-04-27,759,Screen Time Sickness? | 432Hz Raga Bhairavi Nervous System Reset,bhairavi,detox
Raga Heal,rUPtg5bVZMo,2026-04-24,4581,Ancient Raga Todi for Nervous System Reset 🌿 | Sitar Healing for Chronic Burnout,todi,stress
Raga Heal,rUPtg5bVZMo,2026-04-24,4581,Ancient Raga Todi for Nervous System Reset 🌿 | Sitar Healing for Chronic Burnout,todi,nervous_system
Raga Heal,9TOJdfxVyn0,2026-04-13,24745,Morning Anxiety? 🌿 | Raag Bilaval Bansuri to Dissolve Stress & Overthinking,bilawal,anxiety
Raga Heal,9TOJdfxVyn0,2026-04-13,24745,Morning Anxiety? 🌿 | Raag Bilaval Bansuri to Dissolve Stress & Overthinking,bilawal,stress
Raga Heal,9TOJdfxVyn0,2026-04-13,24745,Morning Anxiety? 🌿 | Raag Bilaval Bansuri to Dissolve Stress & Overthinking,bilawal,overthinking
Raga Heal,9TOJdfxVyn0,2026-04-13,24745,Morning Anxiety? 🌿 | Raag Bilaval Bansuri to Dissolve Stress & Overthinking,bilawal,morning
Raga Heal,9TOJdfxVyn0,2026-04-13,24745,Morning Anxiety? 🌿 | Raag Bilaval Bansuri to Dissolve Stress & Overthinking,bilawal,morning_anxiety
Raga Heal,9TOJdfxVyn0,2026-04-13,24745,Morning Anxiety? 🌿 | Raag Bilaval Bansuri to Dissolve Stress & Overthinking,bilawal,morning_overthinking
Raga Heal,9TOJdfxVyn0,2026-04-13,24745,Morning Anxiety? 🌿 | Raag Bilaval Bansuri to Dissolve Stress & Overthinking,bilawal,morning_stress
Raga Heal,9AWxmZ4gTes,2026-03-20,176761,Calm an Overactive Mind 🌙 | 210Hz Chandra Raga for Deep Nervous System Healing,chandra,overthinking
Raga Heal,9AWxmZ4gTes,2026-03-20,176761,Calm an Overactive Mind 🌙 | 210Hz Chandra Raga for Deep Nervous System Healing,chandra,nervous_system
