snapshot_date,competitor,video_id,title
2026-04-25,Raga Heal,rUPtg5bVZMo,Ancient Raga Todi for Nervous System Reset 🌿 | Sitar Healing for Chronic Burnout
2026-04-25,Raga Heal,8jnAg1D9x4s,Dopamine Reset | 639Hz Bansuri for Deep Digital Detox & Inner Balance
2026-04-25,Raga Heal,o0ro8CyF-30,Neural Rewire 741Hz | Vedic Sitar Raga Engineered for Overstimulated Minds
2026-04-25,Raga Heal,9TOJdfxVyn0,Morning Anxiety? 🌿 | Raag Bilaval Bansuri to Dissolve Stress & Overthinking
2026-04-25,Raga Heal,LBtNTW-Nh44,Deep Vagus Nerve Reset 🌿 | Lower Cortisol with Veena & Bansuri
2026-04-25,Raga Heal,A6vur4QnELg,Mentally Exhausted? | Sitar Flow to Calm Your Mind & Restore Focus
2026-04-25,Raga Heal,jQLOjBwvOq8,Circadian Sitar Alignment | Reset Your Internal Clock & Heal Mental Exhaustion
2026-04-25,Raga Heal,_YlemauFxMM,Lunar Serenity 🌙 | Ethereal Sarangi to Release Deep Tension
2026-04-25,Raga Heal,-LDlOOA7ubE,Release Deep Body Tension | 174Hz Raga for Stress & Anxiety Relief
2026-04-25,Raga Heal,_a4t-CSm4Vc,Clear Brain Fog Instantly | Bansuri Flute Raga for Deep Mental Clarity
2026-04-25,Raga Heal,9AWxmZ4gTes,Calm an Overactive Mind 🌙 | 210Hz Chandra Raga for Deep Nervous System Healing
2026-04-25,Raga Heal,DSahi5gd70s,Detox Negative Thoughts | Indian Sarod for Emotional Clarity 🌿
2026-04-25,Raga Heal,0FBQgVxUKak,Indian Raga Healing Session | Calm Anxiety • Inner Peace • Deep Relaxation
2026-04-25,Raga Heal,FThmMsEq4ZY,Nervous System Cooldown | Indian Raga Therapy for Immediate Relief
2026-04-25,Raga Heal,YRaOsqtCnU4,Raga Therapy to Lower Morning Cortisol | 432Hz Bansuri for Calm Mind & Stop Overthinking
2026-04-25,Shanti Instrumentals,3Olwnet2x3k,Sitar To Start Your Day | Indian Classical Meditation Music
2026-04-25,Shanti Instrumentals,ZyENEGlmVkI,Feeling Foggy? Try This: Sitar For a Razor Sharp Mind
2026-04-25,Shanti Instrumentals,oeyNBPdUUjU,Morning Anxiety? Sitar To Reduce Stress And Stop Overthinking
2026-04-25,Shanti Instrumentals,prj8TLQbLBw,Somatic Healing With Sitar | Trauma Release | Melt Away Emotional Pain
2026-04-25,Shanti Instrumentals,ljOOxVWQ_C4,"Calm Your Anxiety With Sitar | Indian Classical Background Music | Heal, Breathe, & Let Go"
2026-04-25,Shanti Instrumentals,6zUj0_bxjwI,Dopamine Reset With Sitar | Indian Classical Meditation Music | Rewire & Restore
2026-04-25,Shanti Instrumentals,kwOLK4M9YPQ,"Gentle Healing With Sitar | Restorative Indian Classical Music | Sleep, Relax, Unwind"
2026-04-25,Shanti Instrumentals,tC9gTqF08UE,Boost Your Mood With Sitar | Indian Classical Meditation Music for Joy & Mental Clarity
2026-04-25,Shanti Instrumentals,AbMzhks4-6Q,"Rest Your Mind With Sitar | Relaxing Indian Classical Music | Release Stress, Heal, Sleep"
2026-04-25,Shanti Instrumentals,qX3uc_DZWrM,Midnight Ragas For Deep Sleep | Indian Classical Music For Mental Stillness | Unwind & Restore
2026-04-25,Shanti Instrumentals,atMZMXEmLWo,"Wake Up Without Brain Fog | Traditional Indian Morning Ragas | Sitar, Bansuri & Tabla"
2026-04-25,Shanti Instrumentals,nG6ROcu2_eU,Morning Ragas for a Clear Mind | Sitar & Flute Music for Mental Sharpness
2026-04-25,Shanti Instrumentals,rOwyqBTynvE,"Ragas For Deep Sleep | Indian Classical Nighttime Music | Unwind, Rest, & Restore"
2026-04-25,Shanti Instrumentals,0TvRZmb3bTg,Healing Ragas For Overthinkers | Indian Classical Meditation Music | Restore Mental Stillness
2026-04-25,Shanti Instrumentals,OGlQRNhI6Ro,Overcome Procrastination Using Sitar | Indian Classical Music for Deep Focus & Action
